symbol,open_time,funding_rate,funding_rate_z_7d,funding_rate_1d_change
MEUSDT,2026-05-30 00:00:00+00:00,-0.0002273,0.4670804,7.054e-05
MEUSDT,2026-05-30 04:00:00+00:00,-0.00080901,-0.30480057,-0.00053911
MEUSDT,2026-05-30 08:00:00+00:00,-0.00038804,0.2890755,2.861e-05
MEUSDT,2026-05-30 12:00:00+00:00,-0.00023632,0.4636013,-1.608e-05
MEUSDT,2026-05-30 16:00:00+00:00,-0.00040629,0.20538385,-5.493e-05
MEUSDT,2026-05-30 20:00:00+00:00,-0.00027167,0.3642895,0.00018202
MEUSDT,2026-05-31 00:00:00+00:00,-0.00034846,0.17597798,-0.00012116
MEUSDT,2026-05-31 04:00:00+00:00,-0.00068765,-0.55011404,0.00012136
MEUSDT,2026-05-31 08:00:00+00:00,-0.00046438,-0.08400082,-7.634e-05
MEUSDT,2026-05-31 12:00:00+00:00,-0.00025831,0.39505664,-2.199e-05
MEUSDT,2026-05-31 16:00:00+00:00,-0.00012115,0.90615755,0.00028514
MEUSDT,2026-05-31 20:00:00+00:00,-0.00011256,0.8958116,0.00015911
MEUSDT,2026-06-01 00:00:00+00:00,-1.685e-05,1.5133204,0.00033161
MEUSDT,2026-06-01 04:00:00+00:00,-1.685e-05,1.442692,0.0006708
MEUSDT,2026-06-01 08:00:00+00:00,-1.685e-05,1.4921389,0.00044753
MEUSDT,2026-06-01 12:00:00+00:00,-1.685e-05,1.4659126,0.00024146
MEUSDT,2026-06-01 16:00:00+00:00,-1.685e-05,1.3899776,0.0001043
MEUSDT,2026-06-01 20:00:00+00:00,-1.685e-05,1.4042385,9.571e-05
MEUSDT,2026-06-02 00:00:00+00:00,-1.685e-05,1.3548472,0.0
MEUSDT,2026-06-02 04:00:00+00:00,-1.685e-05,1.2903248,0.0
MEUSDT,2026-06-02 08:00:00+00:00,-1.685e-05,1.2467065,0.0
MEUSDT,2026-06-02 12:00:00+00:00,-1.685e-05,1.2093439,0.0
MEUSDT,2026-06-02 16:00:00+00:00,-1.685e-05,1.1707082,0.0
MEUSDT,2026-06-02 20:00:00+00:00,-1.685e-05,1.1532693,0.0
MEUSDT,2026-06-03 00:00:00+00:00,-1.685e-05,1.1053683,0.0
