era,feature,label,n_cyc,med_n_sym,block_days,ic_raw,t_raw,ic_pred_orth,t_pred_orth,ic_v0_orth,t_v0_orth
rec,resid_ret_24h,h12,1597,167,1,-0.04575284972992113,-8.669448049689908,-0.040780448321190294,-8.047360502236272,0.015205318027637563,5.515151271127115
rec,resid_ret_36h,h12,1597,167,1,-0.03840920749092474,-7.429008496270676,-0.03354357514317464,-6.813615802954108,0.003458843305034909,1.1369766957988265
rec,resid_ret_3d,h12,1597,167,1,-0.02900743187559394,-5.194151749424959,-0.024734320273653954,-4.5964802161964355,0.010106667383943597,3.2340141725870395
rec,resid_ret_5d,h12,1597,167,1,-0.025133155589210185,-4.573403874902321,-0.021658912767518183,-4.111037064512488,0.006926249249517766,1.9812811054530806
rec,resid_ret_12h,h24,1591,167,1,-0.039968310429716075,-7.6019848589620995,-0.03571529472603297,-7.036359665154337,0.006864672422153676,3.1737039509862712
rec,resid_ret_24h,h24,1591,167,1,-0.038143062485223096,-6.284937809269994,-0.03240806323469751,-5.594968510049935,0.011346143168937825,4.1290260419451945
rec,resid_ret_36h,h24,1591,167,1,-0.03579256849471127,-5.813182128340452,-0.030144429879240178,-5.126356054988112,-0.0005818807687327198,-0.17634034279281477
rec,resid_ret_3d,h24,1591,167,1,-0.024611144490590344,-3.4808901525580835,-0.019531550299213527,-2.844369663857259,0.012920948766298679,3.3595156052061568
rec,resid_ret_5d,h24,1591,167,1,-0.020943032095128898,-2.912114239980726,-0.01697370705936358,-2.440063079682929,0.010238285189817026,2.291262909441117
rec,resid_ret_12h,h48,1579,167,2,-0.023601240013565353,-4.525347707781741,-0.018955771558736883,-3.846304629236527,0.004429237994748036,2.048506663205226
rec,resid_ret_24h,h48,1579,167,2,-0.025640364352026643,-4.143373015165221,-0.01988288910634151,-3.3863483224430793,0.007836429147661743,2.6974499377563355
rec,resid_ret_36h,h48,1579,167,2,-0.020284108482433467,-2.86975397472786,-0.01461806868818093,-2.1602738858959745,0.003073526093103583,0.9417602297463595
rec,resid_ret_3d,h48,1579,167,2,-0.007938787862655786,-0.8719877400453364,-0.003447607853266364,-0.3908043720179814,0.01979867787342257,4.281420093018548
rec,resid_ret_5d,h48,1579,167,2,-0.006503385962272382,-0.6690622869549906,-0.0028678422250497486,-0.30496981362754577,0.012909049591717004,2.0356840619868164
rec,resid_ret_12h,h72,1567,167,3,-0.014473492290131198,-2.922861660890497,-0.009745096606153091,-2.0334525699774546,0.004340801967822396,2.4117143980598
rec,resid_ret_24h,h72,1567,167,3,-0.013331663624732721,-1.9416476241669691,-0.007506526965597041,-1.1326557443577607,0.009331221107422061,2.808889638846163
rec,resid_ret_36h,h72,1567,167,3,-0.009591482247831174,-1.1266077458958126,-0.003896112769957319,-0.46744357258748426,0.006814303741267572,1.8917666895905154
rec,resid_ret_3d,h72,1567,167,3,-0.0012308041722051358,-0.12346387050085357,0.003539463524695299,0.3613588048538338,0.021291319344667034,4.4349668284814845
rec,resid_ret_5d,h72,1567,167,3,-0.0005947658174802426,-0.052917767062009485,0.0030770825408752765,0.2790848338557159,0.012919190392013743,1.7776844673854686
rec,resid_ret_12h,m48,1579,167,2,0.0051429082809578705,1.0850017367546134,0.008598516456526026,1.8997425971017559,0.0005037062029993939,0.2343490898585043
rec,resid_ret_24h,m48,1579,167,2,0.000346182936304435,0.05824708142263845,0.004164788589844696,0.7324738704448234,0.0018858113052775897,0.6334478777639497
rec,resid_ret_36h,m48,1579,167,2,0.0029964099034100757,0.449863609814315,0.0067145825777276315,1.048704386340346,0.004415613458767517,1.2947030513294264
rec,resid_ret_3d,m48,1579,167,2,0.006964033988169289,0.941469471792811,0.009651002657711285,1.3375232613243542,0.012371860953853614,3.182613346070076
rec,resid_ret_5d,m48,1579,167,2,0.0045489793025017275,0.5650717967781934,0.006872280951833128,0.8740828381121446,0.008342669251512657,1.6904795396915477
rec,resid_ret_12h,m72,1567,167,3,0.01030371779200675,1.9836767931019297,0.013812505948336608,2.737568499868398,0.002105187617639613,1.0734071229690967
rec,resid_ret_24h,m72,1567,167,3,0.010840820691521294,1.4775983549198068,0.014923702919118018,2.0720746473677503,0.006480561493199564,1.9092524587960258
rec,resid_ret_36h,m72,1567,167,3,0.011843857714682876,1.3531805219655264,0.01574759322287737,1.8187362583585138,0.008925885123380148,2.3057932109712724
rec,resid_ret_3d,m72,1567,167,3,0.013626771549770895,1.4522191981019643,0.01685052627274535,1.8155637098168604,0.019531660325432562,4.059619127480724
rec,resid_ret_5d,m72,1567,167,3,0.010875007031397816,1.1207685914544916,0.013666862151406785,1.423148635148489,0.009934605271643663,1.6368873839407494
rec,resid_ret_12h,r4,1601,167,1,-0.04056375359765109,-11.729587597019187,-0.03782330125662891,-11.276943585747146,0.016602525078180257,7.694135569172487
rec,resid_ret_24h,r4,1601,167,1,-0.04035258068258782,-11.567934414701963,-0.03688229217385337,-10.926487474761906,0.01784241138621419,7.780560647216066
rec,resid_ret_36h,r4,1601,167,1,-0.03446946334941593,-10.172831278062036,-0.03126669558050974,-9.562241832419206,0.0037816122530187116,1.5669822631708903
rec,resid_ret_3d,r4,1601,167,1,-0.02732051257117213,-7.797214729233419,-0.024384835540824972,-7.179423719071718,0.00651237394745584,2.739961762232888
rec,resid_ret_5d,r4,1601,167,1,-0.023721743608412157,-6.653777861151966,-0.020972780924580547,-6.120664267875709,0.0046615045218457735,1.9517133113017653
rec,resid_ret_12h,r12,1597,167,1,-0.042850254847956695,-9.843955844723464,-0.03927783833843018,-9.298422916629875,0.012371610604220415,5.70998360888287
rec,resid_ret_24h,r12,1597,167,1,-0.044175424321219826,-9.195404454309447,-0.039423498453620795,-8.519577573238102,0.015525302453100381,5.54962178800366
rec,resid_ret_36h,r12,1597,167,1,-0.036457662389794365,-7.594212398885061,-0.03188614301913943,-6.930131694322504,0.004197985448010899,1.3908686449361325
rec,resid_ret_3d,r12,1597,167,1,-0.027405396842180716,-5.115708249267377,-0.023263105616405783,-4.492048944642763,0.010851218702072828,3.2607201863563384
rec,resid_ret_5d,r12,1597,167,1,-0.023769906870193563,-4.420560622359523,-0.02022528734381541,-3.9152395930688453,0.00652393285057328,1.8541249164002143
rec,resid_ret_12h,r24,1591,167,1,-0.03898975483624028,-7.898661876530255,-0.034938002530387695,-7.36576095518852,0.007156735340355898,3.348681708073444
rec,resid_ret_24h,r24,1591,167,1,-0.0347128779837434,-6.209529719198111,-0.029403830600345893,-5.503649957134714,0.01119708007061176,3.9847270894613187
rec,resid_ret_36h,r24,1591,167,1,-0.03201628851332505,-5.427199416627385,-0.026750867869114556,-4.739145867992699,0.0009581830880673818,0.2938106622229055
rec,resid_ret_3d,r24,1591,167,1,-0.02134887948297183,-3.0087902556997057,-0.016459946918719433,-2.3816960551977,0.01432781549389811,3.406454165331672
rec,resid_ret_5d,r24,1591,167,1,-0.017487694860309672,-2.4362085625512067,-0.013393238967674087,-1.9217878724427295,0.010597018564792324,2.3452630162356303
rec,resid_ret_12h,r48,1579,167,2,-0.02194835419698344,-4.390682823918659,-0.01751363201115332,-3.758492705788447,0.004505318142767897,2.088957374638384
rec,resid_ret_24h,r48,1579,167,2,-0.022879756041476945,-3.835282904557511,-0.017224860819251592,-3.0589058916459893,0.006532520995992496,2.354767403556044
